framework,control_id,title,category,status,summary,source,observed_at,evidence
SOC2,C1.1,Cryptographic key rotation,Cryptography,pass,active signing key is within the managed rotation window,policy_signing_keys,2026-06-16T03:22:48Z,"{""activated_at"": ""2026-06-16T02:52:39Z"", ""key_age_days"": 0, ""max_age_days"": 365, ""has_active_signing_key"": true}"
SOC2,C1.2,Data retention,Confidentiality,fail,no data-retention period is configured,tenant_settings,2026-06-16T03:22:48Z,"{""retention_days"": 0}"
SOC2,CC6.1,Logical access — default-deny policy,Logical Access,pass,active policy graph enforces default-deny,policy_graph,2026-06-16T03:22:48Z,"{""default_deny"": true, ""graph_version"": 1, ""has_policy_graph"": true}"
SOC2,CC6.1-ISO,Tenant isolation (row-level security),Logical Access,pass,row-level security is enforced for tenant data isolation,database_role,2026-06-16T03:22:48Z,"{""db_role"": ""sng_app"", ""rls_enforced"": true, ""role_bypasses_rls"": false, ""rls_runtime_verified"": true}"
SOC2,CC6.6,Federated authentication (SSO),Logical Access,fail,no identity provider is configured for federated access,idp_configs,2026-06-16T03:22:48Z,"{""idp_enabled"": 0, ""idp_configured"": 0}"
SOC2,CC6.7,Encryption at rest,Cryptography,fail,no key-wrap master is configured; data-at-rest encryption is disabled,platform_config,2026-06-16T03:22:48Z,"{""encryption_at_rest"": false}"
SOC2,CC6.8,Encryption in transit,Cryptography,fail,TLS is not enforced for data in transit,platform_config,2026-06-16T03:22:48Z,"{""tls_mode"": ""disable"", ""tls_enforced"": false}"
SOC2,CC7.1,Policy bundle integrity,System Integrity,pass,an active policy bundle signing key is present,policy_signing_keys,2026-06-16T03:22:48Z,"{""has_active_signing_key"": true}"
SOC2,CC7.2,Audit logging,Monitoring,pass,append-only audit trail has recorded activity,audit_log,2026-06-16T03:22:48Z,"{""last_audit_at"": ""2026-06-16T02:52:39Z"", ""has_audit_activity"": true}"
SOC2,P1.1,Data residency,Privacy,pass,tenant data is pinned to a declared residency region,tenant_record,2026-06-16T03:22:48Z,"{""region"": ""us-east-1""}"
